code,date,termination_date,timestamp,exact,status,country,provider,mobile_subscriptions_2009,mobile_subscriptions_2010,mobile_subscriptions_2011,mobile_subscriptions_2012,mobile_subscriptions_2013,mobile_subscriptions_2014,mobile_subscriptions_2015,mobile_subscriptions_2016,gdp_2009,gdp_2010,gdp_2011,gdp_2012,gdp_2013,gdp_2014,gdp_2015,gdp_2016,individual_net_usage_2009,individual_net_usage_2010,individual_net_usage_2011,individual_net_usage_2012,individual_net_usage_2013,individual_net_usage_2014,individual_net_usage_2015,individual_net_usage_2016
ABW,10/13/2016,,1476316800,Not exact,Added,Aruba,Digicel,126.2,129.7,,131.9,134.9,135.1,135.7,,2.50,2.47,2.58,0.00,0.00,0.00,0.00,0.00,58.00,62.00,69.00,74.00,78.90,83.78,88.66,93.54
AFG,,,,,,Afghanistan,,37.9,36.0,47.4,51.4,55.0,58.8,61.6,66.0,12.49,15.94,17.93,20.54,20.26,20.62,19.22,19.47,3.55,4.00,5.00,5.45,5.90,7.00,8.26,10.60
AGO,6/22/2015,,1434931200,Exact,Added,Angola,Movicel,42.8,48.1,59.8,61.4,61.9,63.5,60.8,55.3,75.49,82.47,104.12,115.40,124.91,126.78,102.96,95.34,2.30,2.80,3.10,6.50,8.90,10.20,12.40,13.00
ALB,,,,,,Albania,,78.2,85.5,98.3,110.7,116.2,105.5,106.4,105.1,12.04,11.93,12.89,12.32,12.78,13.23,11.34,11.86,41.20,45.00,49.00,54.66,57.20,60.10,63.25,66.36
AND,,,,,,Andorra,,82.1,84.1,83.5,81.5,80.7,82.6,88.1,87.2,3.66,3.36,3.44,3.16,3.28,3.35,2.81,2.86,78.53,81.00,81.00,86.43,94.00,95.90,96.91,97.93
ARB,,,,,,,,76.2,87.6,98.9,105.0,110.0,109.9,108.9,106.8,1795.80,2109.67,2501.55,2741.24,2839.63,2906.62,2563.30,2504.70,21.55,24.54,26.65,30.27,32.98,36.48,39.87,42.03
ARE,,,,,,	United Arab Emirates,,138.3,129.4,131.4,149.6,171.9,178.1,187.3,204.0,253.55,289.88,350.91,374.82,390.43,403.20,357.95,348.74,64.00,68.00,78.00,85.00,88.00,90.40,90.50,90.60
ARG,,,,,,	Argentina,,131.1,141.4,149.1,156.6,162.5,146.5,146.7,150.7,332.98,423.63,530.16,545.98,552.03,526.32,584.71,545.48,34.00,45.00,51.00,55.80,59.90,64.70,68.04,70.15
ARM,,,,,,	Armenia,,73.8,130.4,108.3,111.9,112.4,115.9,115.9,114.8,8.65,9.26,10.14,10.62,11.12,11.61,10.55,10.57,15.30,25.00,32.00,37.50,41.90,54.62,59.10,62.00
ASM,,,,,,American Samoa,,,,,,,,,,0.68,0.58,0.57,0.64,0.64,0.64,0.66,0.66,,,,,,,,
